STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19WKSCL,C19WKSLO
AK,AK0001,2,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,KENAI PENINSULA,9072355692,CE,2880,R_20,0,1404,R_20,43,R_20,2021,8,0,0,0,-151.8315926,59.77966731,2,122,3110,59414,43,8,3027,200,-4,N,E,100,POINTADDRESS,9,-1
AK,AK0002,7,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,25452,R_20,0,1778,R_20,48,R_20,2021,8,0,0,0,-149.5713885,61.32959269,2,20,3000,287095,31,2.01,2000,200,11260,0,E,100,SUBADDRESS,0,0
AK,AK0002,8,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,8204,R_20,0,1935,R_20,52,R_20,2021,8,0,0,0,-149.7334126,61.21061698,2,20,3000,287095,11,7.03,5009,200,11260,0,E,100,SUBADDRESS,0,0
AK,AK0002,10,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_20,0,1932,R_20,52,R_20,2021,8,0,0,0,-149.1349747,60.96014208,2,20,3000,287095,42,29,2090,200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0002,11,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,CE,146171,R_20,0,3060,R_20,52,R_20,2021,8,0,0,0,-149.8764562,61.1870715,2,20,3000,287095,11,19,4016,200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0002,12,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_20,0,1954,R_20,52,R_20,2021,8,0,0,0,-149.8085247,61.22262309,2,20,3000,287095,11,9.01,2000,200,11260,0,E,99.04,POINTADDRESS,0,0
AK,AK0003,2,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,R_20,0,400,R_20,40,R_20,2021,8,0,0,0,-149.1744083,64.34374942,2,68,3220,2081,43,1,1011,200,-4,N,E,99.62,STREETADDRESS,8,8
AK,AK0006,2,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_20,0,1600,R_20,40,R_20,2021,8,0,0,0,-161.7736923,60.79058917,2,50,6520,18437,33,2,2018,200,-4,N,E,93.91,STREETNAME,11,-1
AK,AK0007,2,Y,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,9663,MATANUSKA-SUSITNA,9078617635,CE,6940,R_20,0,2193,R_20,43,R_20,2021,8,0,0,0,-149.8186701,61.54772359,2,170,7070,110213,42,5.02,1009,200,11260,0,E,99.58,POINTADDRESS,8,10
AK,AK0008,2,Y,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,1315,R_20,0,582,R_20,39,R_20,2021,8,0,0,0,-148.8948017,63.3923707,2,68,10150,2081,43,1,2176,200,-4,N,E,95.86,STREETNAME,9,0
